Rank,Username,UserId,TelegramUserId,WalletAddress
1,OfficialBen_D,2437,6441584144,2goZYKCYg9QGEjWW4dXMTcdDxCCkf1TDxG17MAujNn1C
2,Rose,2420,5940852088,Fhz5zW68PTAvPRGbooN1tcUJ8nGUjSsKeNjnttAsoMD9
3,Mayowa5524,4720,7856887690,6HDRCtwFimMdrzPsEp86HYLEUodK5yz9trjKF5wARKzX
4,Benjay_01,124,6472769174,AvybM3pp3kFnrSRJDnwK3omEFwdZjCiALTWuMUS21nLp
5,Ben,2518,8182070760,
6,Gloria123446,132,7057743423,216s6bzY7n6fft6Wmj3r2xPmV9RMVcYUWNUGnt5Rtptc
7,Badejje,2612,1171236025,FyPd3M8nSMu26AQkuVcQqw8mkhoVEHVH2CVuBRzQwuTy
8,Pamilerinnn,61,1628453420,9cSTAZBpzxrzATYjHHGGUYZMagzQycuaX8hQDpgAaeag
9,OverlordEnki,46,858140492,78daB7wkW5QDSiXjTbRg4GikQJSAWzyjXiYyNfC5MVFH
10,Oluwaseyifunmi,1983,7136146213,
11,Marvellous,1980,1296980010,
12,adewale,2063,8182148319,6yNgnL5Trz7nvSbeJveQh7JaS7M9DkQZwuuEb9oVLnJk
13,olasumbo18,2378,6417445905,
14,Josh_don12,4702,6328037788,
15,Marexlord,2220,7916193768,GfaZCg3tHNymdYQdwA9oMNS6nUAn2iZo2QSc2ojdqFuF
16,Stickman794,2362,1555534812,AgyQYoCZ1RnVYhpGJ3XkwwpHTVRi3dEmqjRFAmhBN6sX
17,daveid991,2488,6786195462,
18,IbnAbdulganniy,2605,835371223,
19,Xaeveir,4739,1963158275,3wzBpZ27Hbxu9gPBJ6P8gaqvRF43oT1vdG5fgjqtEeXz
20,SuwunL012,2644,6947878857,7EGxwLvAFoxCZ8EKQd9DcvrRwHhPhESkjAJFa7CzwjBK
21,JaegerChuks,2474,6474022275,
22,Tuscoooo,4989,6610008755,7FDaDKUwhXRvnmKbHa1eZ6PVvXmNW9WarEjAa3q3dijQ
23,nuhflex24,4689,5687664784,3PdeuxnRx43Q6Gt6tT3TtoJ6ueWxua8xuELcU3uBisWu
24,Olasumbo,4682,8007040234,
25,Olaboy2,121,5462136874,4wVsmDF3vvgCdNdPncejmsB624ZyEFLkJBbJCHo7KJtC
26,Paso1010,84,7076251146,5zNPpHVUAqHaaw4Ct45xKYbsYgves9qDBi5oUJBaBwtc
27,Pope_NFT0,2604,5801014706,
28,Lebe1,214,7382710222,CB1QAzdV5kT2Az424Bm91BRvzXVV2CpNQaxVeRwJ3Dkd
29,MM001,96,7461971512,3C7kZTbjjH2j2yFZhhTgN9yHCkZH3d3qiPThiXWjP6vx
30,Ezinn_e,4701,858592050,
31,ravgrover09,6103,309053105,
32,Wale,4991,8116764431,
33,ymcmb2020,95,6090852889,AiDF85EFG3KuWFQKvNF4zAZDsB3pg6WXvp5q3ffapMHv
34,Youngmoney1999,93,463733496,DQG1i7Bobb7GFe5jD2xMhDNfBJFowLRTUVcqmPrWt9jm
35,Paso247,215,7374498582,76EvJQELP875Q4om9vyvxV6FviP56SFwLsv3fcUfsCYn
36,Davidos247,87,6526841989,3p44M5nivN7cnGdBr8RdNh6M5WDHEi5Y3ZdihShqhav4
37,Dmquin17,4829,5447125816,
38,sheriffOnU,2575,6357305559,
39,Ultimaseyi,5002,6002016550,
