Rank,Username,UserId,TelegramUserId,WalletAddress
1,OfficialBen_D,2437,6441584144,0x7f8fC62Fe4C6b9668F761164B12a9d628938c9c9
2,Rose,2420,5940852088,0xcc5a08dc6f747a857b0efbdd4771714878b8b8bd
3,Mayowa5524,4720,7856887690,0xd1090E9BB6679FEb493725ff5EC6F204b397092C
4,Benjay_01,124,6472769174,0xa8f18629cbf53751687eae3a7b5ec74ff41abe92
5,Ben,2518,8182070760,
6,Gloria123446,132,7057743423,0xa221a42dd4062ac29c0beda3051c1e86eda4d032
7,Badejje,2612,1171236025,0x3e146eaf0AD4b540690a98b602093bB2897B0DD2
8,Pamilerinnn,61,1628453420,0xdf6e899134B96d6Dd2FC5Cdc14e584b10BCe713d
9,OverlordEnki,46,858140492,0x33C844be2B0a6DcBA581Bd5F736BaB66d25F8b23
10,Oluwaseyifunmi,1983,7136146213,0x4dEb68d00007EBB571aEC80c6B3a46383EB9f535
11,Marvellous,1980,1296980010,0x9bb97BEB227213eeBd952dD7A0A562608AC3ddd2
12,adewale,2063,8182148319,0x74ba3556e14a76f4a613ea84a49e77e0b5c2a412
13,olasumbo18,2378,6417445905,
14,Josh_don12,4702,6328037788,0x3f660e9ab3d399242d65dc6942bcbffff9695e18
15,Marexlord,2220,7916193768,
16,Stickman794,2362,1555534812,0xea94bf8c7c2f226f2ca93488ad9717813c560c71
17,daveid991,2488,6786195462,
18,IbnAbdulganniy,2605,835371223,
19,Xaeveir,4739,1963158275,0x42A96221013b977DEf7d0052dA6e102dA14e3067
20,SuwunL012,2644,6947878857,0xD3AA9B43bd566Ba3Ca490D3D7fD51bBbB61388FE
21,JaegerChuks,2474,6474022275,0x3cce4f329492fce0348a9ae1c1d45f0f71e2201f
22,Tuscoooo,4989,6610008755,
23,nuhflex24,4689,5687664784,0x916650992dF2b0E546f93725B9C772Cd369eBc06
24,Olasumbo,4682,8007040234,
25,Olaboy2,121,5462136874,0x30b1c4a3e3450a71d437238337198645e0a5d8ab
26,Paso1010,84,7076251146,0x9C57c86f9747f2816cF3E6343d98d4E851b6B04A
27,Pope_NFT0,2604,5801014706,
28,Lebe1,214,7382710222,0x47c5ead3765e253312b7c2af451b1cb0c32075a4
29,MM001,96,7461971512,0x55bfc90dc4f4b7d217dcec3904c78a05c7efc3dc
30,Ezinn_e,4701,858592050,
31,ravgrover09,6103,309053105,
32,Wale,4991,8116764431,0x30b1c4a3e3450a71d437238337198645e0a5d8ab
33,ymcmb2020,95,6090852889,0x8339cf99fa4bf377c0a41ea55ca1555f0340b238
34,Youngmoney1999,93,463733496,0x697eCc536Ba34E639dB25D29746BB5408d4111d3
35,Paso247,215,7374498582,0x8f4ce4ed1490ea183dfc14cf5eb9d4ce6319f319
36,Davidos247,87,6526841989,0xc58F44e06eA3e6E05B984d8303F794DDF24B2a72
37,Dmquin17,4829,5447125816,
38,sheriffOnU,2575,6357305559,
39,Ultimaseyi,5002,6002016550,
40,anitabellaz808,92,6703874681,0x8c482f690d788204e036df1a11fe5719a8b5349b
41,transcendingalchemist,6673,1504769283,
42,vaniaksmonteiro,2034,5438050109,
43,tapps_center_ref,4900,7491565825,
44,Varian_t,155,1277711548,
45,Olamide,138,7066587292,0x30b1c4a3e3450a71d437238337198645e0a5d8ab
46,Bintobaro9,4647,7244710796,0xd1E68687Cb5D33A71002fF4B90D695eA95C3738B
47,Cupidsolo,4685,2085010560,0x607c5E4CdDcD2E2ca72FE675b0f0B9DA20053573
48,Mikk Maal,3,43709028,
49,Timitoni,4699,5411481940,
50,celinemaur,4562,6046861185,0xE87bB4efC9DF488253513eAc3F4D44e0222f54a3
51,Musan999,4678,5181636377,0x607c5E4CdDcD2E2ca72FE675b0f0B9DA20053573
52,TheguyK,3913,1534235579,0x7fcc843b9ea680d64341de2f6eb2a8c314361e5a
53,Mdkuddus223,5865,7273642905,
54,bnumarib,5886,6825112807,
55,mehedi188957,5016,7443843031,
56,wayawoyo,6195,5949050528,
57,Missb,5361,7814848620,0x30b1c4a3e3450a71d437238337198645e0a5d8ab
58,Kazeem,123,5747498466,0x74ba3556e14a76f4a613ea84a49e77e0b5c2a412
59,RotimiYP,48,2136190745,0xd565940759CE26A1ca9B1f31c35fcd77c53Ef079
60,JOCOCO11,6376,5141135341,
61,Danielgemfinder_01,5717,7446603699,0x3B68bAF4Ec34e9bEA20260d9ae1802B29Cf8AD03
62,Bnumari,5881,5719040556,
63,Oyewole,5341,7454438966,0x30b1c4a3e3450a71d437238337198645e0a5d8ab
64,apon9890,5880,1132090691,
65,Aminaibjika,5888,6498307361,
66,Bellaz808,80,6791741334,0x5543afad3c5c234c3be02a2498dcb42908bfe580
67,Omaa_nze,144,1262055027,
68,sini555,79,6180537630,
69,BRONDERBRONDER,47,1610627852,0x3bc1158e5bcE8c10e5DA0EdFBB94b261eec46A76
70,Abiirfan77,6702,5062167126,
71,Olawale,122,7087762355,0x30b1c4a3e3450a71d437238337198645e0a5d8ab
72,Rinawatic_C,4893,2059108546,
73,aylnitami,3507,6554685513,
74,arab_cash0,8,1953702793,
75,dandyface,6481,5065797084,
76,vichezcrepto,7149,995518610,
77,Mirex_05,4761,7492044258,
78,Ogebest55,5600,7307786748,
79,hxkzzh,5074,6623629931,
80,D0NTJINX,2806,7470847211,
81,imyourri,4607,6993242353,
82,ar_asif302,3268,1217722207,
83,YoussefHassan2399,6806,686335097,
84,Okonkwu,5388,7416294898,
85,janodor,7276,5515457067,
86,ozzimoon,6525,5768674062,
87,Sir_T0N,6622,632338678,
88,tha_chosenone,65,1693989165,
89,Dheaoktv,1760,5376780802,
90,neoboyzxi,1301,6157345788,
91,conffies,5136,7608416239,
92,Ifesinachi,5591,747373972,
93,flower4us,4883,5972691443,
94,carmhander,5994,6831977105,
95,Favurr,49,646448555,0xb7fcc51894e0838e069c0519a1698e00fd7985b6
96,Edithk7ll,576,7450915778,
97,Adeshola,2007,6022120202,
98,Chacha,5903,7269605307,
99,Berry,4703,5161043371,
100,Legend29987,5998,5826532978,
