Rank,Username,UserId,TelegramUserId,WalletAddress
1,Benjay_01,124,6472769174,0xa8f18629cbf53751687eae3a7b5ec74ff41abe92
2,Marvellous,1980,1296980010,0x9bb97BEB227213eeBd952dD7A0A562608AC3ddd2
3,OverlordEnki,46,858140492,
4,Gloria123446,132,7057743423,
5,Pamilerinnn,61,1628453420,0xdf6e899134B96d6Dd2FC5Cdc14e584b10BCe713d
6,Chasepaper689,58,1625026319,0x19aa8c629c0a887ad95d2b84e2221644a1522e6f
7,Olamide,1607,6257446607,0x30b1c4a3e3450a71d437238337198645e0a5d8ab
8,Oluwaseyifunmi,1981,7107321706,0x7be9a6ad97e3462600699a68e4e192a56eaeff01
9,OfficialBen_D,2437,6441584144,0x7f8fC62Fe4C6b9668F761164B12a9d628938c9c9
10,Stickman794,2362,1555534812,
11,Mayice8,2381,6921708359,0x16895252B0381691e53c79c225f21fF98F6CcB1b
12,Varian_t,155,1277711548,
13,BRONDERBRONDER,47,1610627852,
14,Asimot,2369,7369563591,
15,vaniaksmonteiro,2034,5438050109,
16,HaldjasRistiisa,2134,1352161150,Blä blä blä
17,Favurr,49,646448555,
18,Centralledger01,188,5712520927,
19,Kareem,2045,1027197733,
20,webb_savvy,1800,7221072311,
21,Dummyrub12234567890221,2520,6897554715,
22,RotimiYP,48,2136190745,0xd565940759CE26A1ca9B1f31c35fcd77c53Ef079
23,sherifbello,2727,5859033048,
24,Mikk Maal,3,43709028,
25,Delio,3336,7873104369,
26,maoltechceo,1801,5790047612,
27,JaegerChuks,2474,6474022275,
28,Damirojoh,2384,6536716600,
29,David_San100,2468,5934252536,
30,Clara,2714,5965164872,
31,jeff_shn,4062,1195701024,
32,Olaboy2,121,5462136874,
33,rwange25,2676,6906287552,
34,itsthalaiva,1848,826179269,
35,Kazeem,123,5747498466,
36,rockydai,3392,6269756549,
37,tinalee34,3442,7800874232,
38,sini555,79,6180537630,
39,Badejje,2612,1171236025,
40,bolex318,2390,1721057106,
41,Christ0074,2557,5772964689,
42,babu191120,3321,6519903952,
43,Limah,2733,7624296181,
44,nanisaa,2889,1149189459,
45,VelvetEc,2699,6077072014,
46,mryellaa,3064,1813086754,
47,Samseph,2253,1791435158,
48,JamesSchwartz,3256,6438654075,
49,feranmi_28,2559,6344950050,
50,ragerboii_1809,4137,5996158310,
51,Brittanytdr,2404,7058825305,
52,Ravanlk5,3444,6752422962,
53,Aishah,4200,1519659586,
54,Izzyma12,4404,771778888,
55,IJ_okwueri,2549,6459184870,
56,Iwokgrace,2506,1936968233,
57,Ryam06,2607,1013185721,
58,Nawallimbu,2871,1233849677,
59,rinas1010,2627,6769429077,
60,Hibigddf,3390,7389934835,
61,cmsainisaini,2624,5240989107,
62,Berry_021,2428,1699305606,
63,Umoke,2482,6716133984,
64,Tboy0007,4369,5927929437,
65,TheGafferrrr,4329,5408448818,
66,Starboyyy9,4075,6110031719,
67,Uzee_,2547,7144212153,
68,ahiirux,3642,5560083792,
69,Vivian,2546,5514544128,
70,kingBlayz,4428,655672789,
71,Prodigious003,4327,1157371795,
72,Hamiid_oyeniyi,4109,5645161869,
73,B,2728,5044192301,
74,Ifexy2005,4400,6275875146,
75,Charles,2548,7647977878,
76,GRobert,4402,7307869003,
77,ayeniboluwatife,4148,5362321441,
78,kayann50,4306,6230652895,
79,Dehorlarr,4350,7134510986,
80,Supersoldier41,4078,6257487281,
81,deathadvice,4299,1736543449,
82,Timmy_candy,4406,1935991500,
83,zaar007,4049,6534332562,
84,Tolu,4096,7406285373,
85,Clue_dynasty1,2406,6870186114,
86,Walegrvy,4067,7379176570,
87,andrey1kazantsev,2026,821653083,
88,m_ik_ky,4295,6933213852,
89,Arike,2465,7856841582,
90,EAdeyanju,4116,5433277070,
91,cim0808,4138,1970315698,
92,Anthony,4274,1102787830,
93,vincent_2l,4128,505051045,
94,Shinaayo_xx,4420,951773023,
95,Dylananderson58,2492,6943058599,
96,Nnaemeka,4326,6484056046,
97,Wavyvest,4156,936423052,
98,drpharmrx,4312,5793609894,
99,AkinWahab,4412,943597180,
100,Nevie,2550,6310407905,
